,id,uid,age,gender,balance,bet,win,treatment,plays,wticket,uticket
0,27,y7oftzkmx,34,MALE,2,3,0,1,1,151445,141445
1,28,y7oftzkmx,34,MALE,1,1,0,1,2,663633,653633
2,29,y7oftzkmx,34,MALE,0,1,0,1,3,115343,115353
3,30,br03imk7v,29,FEMALE,3,2,0,1,1,653456,643456
4,31,br03imk7v,29,FEMALE,4,1,1,1,2,412313,412313
5,32,br03imk7v,29,FEMALE,2,2,0,1,3,413224,313224
6,33,br03imk7v,29,FEMALE,3,1,1,1,4,325233,325233
7,34,br03imk7v,29,FEMALE,1,2,0,1,5,262533,162533
8,35,br03imk7v,29,FEMALE,2,1,1,1,6,561632,561632
9,36,a3kr9jtx0,27,MALE,3,2,0,1,1,142153,132153
10,37,a3kr9jtx0,27,MALE,2,1,0,1,2,541512,541562
11,38,a3kr9jtx0,27,MALE,0,2,0,1,3,213132,212132
12,39,2yxtf3pnb,28,MALE,4,1,0,1,1,363653,363652
13,40,2yxtf3pnb,28,MALE,8,4,1,1,2,442461,442461
14,41,3u8pialca,28,MALE,4,1,0,0,1,116344,446644
15,42,3u8pialca,28,MALE,0,4,0,0,2,536551,566254
16,43,zhoebhopm,24,MALE,3,2,0,1,1,645154,645164
17,44,zhoebhopm,24,MALE,2,1,0,1,2,263623,163623
18,45,zhoebhopm,24,MALE,1,1,0,1,3,125365,625365
19,46,zhoebhopm,24,MALE,0,1,0,1,4,646121,146121
20,59,ew1uebcxh,26,FEMALE,3,2,0,1,1,622253,622252
21,60,ew1uebcxh,26,FEMALE,2,1,0,1,2,225314,225315
22,61,ew1uebcxh,26,FEMALE,1,1,0,1,3,132435,132445
23,62,ew1uebcxh,26,FEMALE,0,1,0,1,4,225521,225421
24,63,ug7r86juo,29,MALE,3,2,0,1,1,425166,425666
25,64,5ehvpm30s,29,FEMALE,3,2,0,0,1,355244,625214
26,65,test,2,MALE,4,1,1,0,1,123456,123456
27,66,test,2,MALE,4,1,1,0,1,123456,123456
28,67,test,28,MALE,6,1,1,0,1,551516,551516
29,68,test,28,MALE,7,1,1,0,2,413641,413641
30,69,test,28,MALE,6,1,0,0,3,365554,665224
31,70,test,28,MALE,4,1,0,0,1,655163,625466
32,71,jxu3u28ck,25,FEMALE,4,1,0,1,1,422265,522265
33,72,jxu3u28ck,25,FEMALE,3,1,0,1,2,241214,242214
34,73,jxu3u28ck,25,FEMALE,5,2,1,1,3,635441,635441
35,74,test,28,MALE,4,1,0,0,1,425235,122232
36,75,test,28,MALE,3,1,0,0,2,254144,551444
37,76,Test,28,MALE,4,1,0,1,1,222532,322532
38,77,Test,28,MALE,4,1,0,0,1,635336,335666
39,78,Test,28,MALE,4,1,0,1,1,424315,425315
40,79,xa0gg2kfo,31,MALE,4,1,0,1,1,252261,253261
41,80,xa0gg2kfo,31,MALE,3,1,0,1,2,533333,534333
42,81,xa0gg2kfo,31,MALE,2,1,0,1,3,454634,554634
43,82,xa0gg2kfo,31,MALE,1,1,0,1,4,334262,234262
44,83,xa0gg2kfo,31,MALE,0,1,0,1,5,535434,525434
45,84,l0oed01qn,26,FEMALE,6,1,1,0,1,623161,623161
46,85,n0m0qx22m,34,OTHER,6,1,1,1,1,214436,214436
47,86,n0m0qx22m,34,OTHER,5,1,0,1,2,252225,152225
48,87,n0m0qx22m,34,OTHER,4,1,0,1,3,612324,662324
49,88,hs49w6dak,28,MALE,3,2,0,0,1,533411,536444
50,89,hs49w6dak,28,MALE,4,1,1,0,2,343122,343122
51,90,hs49w6dak,28,MALE,3,1,0,0,3,662233,632266
52,91,ccd9yagpz,26,MALE,10,5,1,1,1,564652,564652
53,92,sytvptpyp,22,FEMALE,2,3,0,1,1,154624,153624
54,93,sytvptpyp,22,FEMALE,1,1,0,1,2,231112,231113
55,94,sytvptpyp,22,FEMALE,0,1,0,1,3,665432,655432
56,95,z0i84dea8,26,MALE,4,1,0,1,1,424624,524624
57,96,z0i84dea8,26,MALE,2,2,0,1,2,415454,415455
58,97,z0i84dea8,26,MALE,0,2,0,1,3,642136,632136
59,98,qtd5uf25j,22,MALE,4,1,0,0,1,351346,351613
60,99,qtd5uf25j,22,MALE,2,2,0,0,2,514653,244656
61,100,e8r0sfltw,19,MALE,2,3,0,1,1,145665,144665
62,101,e8r0sfltw,19,MALE,0,2,0,1,2,126132,126131
63,102,adsjqyal8,22,FEMALE,4,1,0,1,1,222513,212513
64,103,gt6y330pp,26,OTHER,4,1,0,0,1,652245,352212
65,104,gt6y330pp,26,OTHER,0,4,0,0,2,634665,364635
66,105,fjsdjrqco,23,MALE,4,1,0,1,1,346353,341353
67,106,fjsdjrqco,23,MALE,3,1,0,1,2,634562,624562
68,107,lq1sfpdd4,20,MALE,4,1,0,0,1,624541,324211
69,108,lq1sfpdd4,20,MALE,2,2,0,0,2,633541,333244
70,109,vdj3786j0,29,MALE,4,1,0,0,1,322541,622211
71,110,vdj3786j0,29,MALE,2,2,0,0,2,141121,11142-
72,111,f4w3thf91,24,MALE,4,1,0,1,1,433112,433212
73,112,f4w3thf91,24,MALE,1,3,0,1,2,562225,561225
74,113,ye8rmntt1,32,MALE,4,1,0,0,1,342552,612555
75,114,ye8rmntt1,32,MALE,0,4,0,0,2,311545,311212
76,115,m518t3bnt,30,FEMALE,1,4,0,0,1,221566,2-1126
77,116,zqh3qw6vv,26,FEMALE,4,1,0,0,1,254334,554664
78,117,zqh3qw6vv,26,FEMALE,3,1,0,0,2,651243,651516
79,118,zqh3qw6vv,26,FEMALE,4,1,1,0,3,524655,524655
80,119,7lxhblby5,20,FEMALE,0,5,0,1,1,245113,345113
81,120,953f8xxbm,32,MALE,7,2,1,1,1,544312,544312
82,121,953f8xxbm,32,MALE,6,1,0,1,2,161156,261156
83,122,2ekpuzwge,22,FEMALE,8,3,1,1,1,565512,565512
84,123,2ekpuzwge,22,FEMALE,6,2,0,1,2,154235,654235
85,124,2ekpuzwge,22,FEMALE,5,1,0,1,3,114424,114414
86,125,2ekpuzwge,22,FEMALE,8,3,1,1,4,312631,312631
87,126,dyw3avam4,24,MALE,7,2,1,0,1,416512,416512
88,127,dyw3avam4,24,MALE,10,3,1,0,2,216454,216454
89,128,dyw3avam4,24,MALE,5,5,0,0,3,213313,546313
90,129,5d20t9e4i,23,MALE,4,1,0,1,1,422424,422423
91,130,5d20t9e4i,23,MALE,5,1,1,1,2,422213,422213
92,131,zyfs24j31,21,FEMALE,0,5,0,0,1,441514,4412-2
93,132,73b5l0zyg,24,FEMALE,4,1,0,1,1,224463,224363
94,133,73b5l0zyg,24,FEMALE,3,1,0,1,2,554451,654451
95,134,j3a72ijht,28,FEMALE,3,2,0,1,1,246153,146153
96,135,73b5l0zyg,24,FEMALE,4,1,1,1,3,245121,245121
97,136,j3a72ijht,28,FEMALE,2,1,0,1,2,236556,236456
98,137,j3a72ijht,28,FEMALE,1,1,0,1,3,234164,244164
99,138,73b5l0zyg,24,FEMALE,2,2,0,1,4,353422,353423
100,139,73b5l0zyg,24,FEMALE,0,2,0,1,5,243243,243253
101,140,j3a72ijht,28,FEMALE,0,1,0,1,4,254235,254135
